AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,DAYS_BIRTH,DAYS_EMPLOYED,CNT_CHILDREN,NAME_EDUCATION_TYPE,NAME_INCOME_TYPE,CODE_GENDER,TARGET
85888.52885537661,682861.4715192307,21896.963905003067,-9017,-1669,0,Secondary / secondary special,Commercial associate,F,0
27385.7559504365,618583.9921119086,19863.616119692604,-12118,-8342,2,Higher education,Commercial associate,F,0
63552.931048336555,740978.9851036373,20457.22458269747,-23168,-14623,3,Secondary / secondary special,Commercial associate,M,0
87878.1811158013,678833.9151171611,29864.06123971872,-10694,-9010,3,Secondary / secondary special,Commercial associate,M,0
58512.48982371966,382476.17403253925,9594.487032771613,-19999,-2865,1,Secondary / secondary special,Working,M,0
42178.097141573206,589690.3256988132,10355.506788641746,-16030,-12546,0,Higher education,Working,F,0
44407.433768752206,359709.9802407864,23334.16343570971,-11231,-13229,0,Higher education,Commercial associate,F,1
72691.30579319676,279250.10089185985,25006.409616433863,-8893,-27,3,Secondary / secondary special,Commercial associate,F,0
28011.563036841202,440044.64256367664,16340.619421410633,-23851,-9586,1,Higher education,Working,F,0
42130.23484616635,740408.6283422856,26098.60928584465,-14897,-11429,1,Higher education,Working,F,0
8205.742843343993,494058.02287994005,24699.09229389469,-24996,-13832,3,Secondary / secondary special,Commercial associate,F,0
34025.494075087045,451042.5571152275,21200.507580725392,-16845,-14616,1,Higher education,Commercial associate,F,0
61445.06564207838,356985.12137314817,9860.60025538702,-13049,-4114,0,Higher education,Working,M,0
55405.47253421018,597087.9745172423,23424.80313842047,-7059,-3618,2,Secondary / secondary special,Working,F,0
12792.58215071306,450869.96237129014,19211.195047780362,-12300,-7491,0,Secondary / secondary special,Working,F,0
21014.21254909158,566729.2766509049,21564.008915119644,-23724,-4410,2,Higher education,Commercial associate,M,0
62063.90867504105,466647.7731607442,18920.816309653357,-18516,-9782,0,Secondary / secondary special,Working,F,0
46634.234421674635,868359.5710418824,20796.442121277873,-16330,-13004,1,Secondary / secondary special,Working,M,1
-2689.3871665792685,589660.8660015273,15920.924603100777,-10592,-9615,2,Secondary / secondary special,Commercial associate,M,1
28682.072540594432,700710.177775188,31841.671746046322,-21663,-7655,2,Secondary / secondary special,Working,M,0
37985.62800313767,421913.6070213852,23505.81637841421,-22687,-13987,1,Higher education,Working,F,0
62844.91189147626,680284.8080655497,17666.22312517206,-11088,-1915,2,Higher education,Working,F,0
16730.43572020624,320399.83285999997,23017.502587952968,-14346,-109,3,Secondary / secondary special,Working,F,0
32775.92205474949,393563.5356855736,22360.3483379185,-14835,-3501,2,Higher education,Working,F,0
41184.67275656567,501921.00650706684,11422.180391844106,-18531,-12480,1,Secondary / secondary special,Commercial associate,F,0
62942.84391924619,739031.14879896,16154.929994931388,-23330,-8704,0,Secondary / secondary special,Working,M,0
65559.97675537025,440649.54077232094,33792.073133854006,-21386,-272,0,Higher education,Working,F,0
8783.283538640819,566077.7308664077,25631.71111183083,-24162,-4589,2,Secondary / secondary special,Commercial associate,M,0
106469.34515439189,254724.4386106383,19681.429173772452,-14577,-8661,0,Higher education,Working,F,0
37010.966474651126,344183.25218949764,19668.90154052804,-12816,-6818,3,Higher education,Commercial associate,M,0
37355.82725206452,445927.262619926,18568.146007964584,-8824,-11102,2,Higher education,Working,M,0
48273.04702850143,406139.374989286,19043.60084093122,-11043,-12082,0,Higher education,Working,F,0
60187.25316162738,582059.0713391724,17574.592143671372,-14122,-11456,2,Secondary / secondary special,Working,M,0
33899.97375839073,471551.5438080905,18246.51499464006,-13715,-11469,1,Higher education,Commercial associate,F,0
37577.12341223934,400343.3198060177,15939.766475293909,-7010,-8772,2,Secondary / secondary special,Commercial associate,F,0
40959.82900895433,812071.9709007745,18296.25695179473,-19163,-14137,2,Higher education,Working,F,0
60103.09626256752,474480.8265712938,17639.769903220258,-8496,-13607,3,Higher education,Working,M,0
54060.52299000542,828076.7368462839,25220.57322961912,-22690,-12225,3,Secondary / secondary special,Working,F,1
39424.49977603245,816458.6229648987,24184.623310408235,-24112,-14043,2,Secondary / secondary special,Commercial associate,M,0
16448.54683469279,495531.31625174,21774.346137949262,-13533,-2768,3,Higher education,Working,M,0
50934.04736935265,898059.0881539785,16260.83805128524,-21525,-3344,1,Secondary / secondary special,Working,F,0
91050.85548573545,148240.89999400714,18629.84100406433,-14160,-13087,1,Secondary / secondary special,Commercial associate,F,0
67730.48453497146,612804.6204011188,24753.651183262027,-9697,-3688,3,Secondary / secondary special,Commercial associate,F,0
19814.453941235846,91999.73713734356,17547.300429394738,-7860,-8139,0,Higher education,Working,F,0
34019.063079841304,470015.0317323414,20759.903938034367,-18154,-13016,1,Higher education,Working,M,0
73899.07563604123,329405.4314662983,11259.014307896865,-8750,-8093,1,Secondary / secondary special,Commercial associate,M,1
36757.0124347921,359213.83212919004,20860.66073260513,-13514,-13101,1,Secondary / secondary special,Working,F,0
53354.91229358334,494652.0823865164,19318.240957599068,-7830,-1561,1,Higher education,Working,F,0
